name,url,varietal,origin,rating_dict,avg_rating,rating_count,price_dollars,price_cents,page,red,white,sparking,collectible,giftable,green,screwcap,boutique
Il Poggione Brancato Rosato 2018,/product/il-poggione-brancato-rosato-2018/519959,Rosé,"Tuscany, Italy",{},0.0,0,19,99,337,0,0,0,0,0,0,1,0
Capezzana Ghiaie della Furba 2012,/product/capezzana-ghiaie-della-furba-2012/508852,Other Red Blends,"Tuscany, Italy",{},0.0,0,52,99,337,1,0,0,0,0,0,0,0
Castello di Verrazzano Rosso 2016,/product/castello-di-verrazzano-rosso-2016/391334,Tuscan Blends,"Tuscany, Italy",{},3.8,7,13,99,337,1,0,0,0,0,0,0,0
Ruffino Pinot Grigio Lumina 2018,/product/ruffino-pinot-grigio-lumina-2018/526418,Pinot Gris/Grigio,"Tuscany, Italy",{},0.0,0,8,99,337,0,1,0,0,0,0,0,0
Rocca di Montegrossi Geremia Rosso 2015,/product/rocca-di-montegrossi-geremia-rosso-2015/521699,Bordeaux Red Blends,"Tuscany, Italy",{},0.0,0,49,99,337,1,0,0,0,0,1,0,1
Fattoria Sardi Rosato 2018,/product/fattoria-sardi-rosato-2018/523933,Rosé,"Tuscany, Italy",{},0.0,0,22,99,337,0,0,0,0,0,1,0,0
La Spinetta Il Nero di Casanova 2015,/product/la-spinetta-il-nero-di-casanova-2015/518011,Sangiovese,"Tuscany, Italy",{},0.0,0,19,99,337,1,0,0,0,0,0,0,0
San Filippo Rosso di Montalcino Lo Scorno 2016,/product/san-filippo-rosso-di-montalcino-lo-scorno-2016/485586,Sangiovese,"Tuscany, Italy",{},0.0,0,26,99,337,1,0,0,0,0,0,0,0
Molino di Sant'Antimo Rosso di Montalcino 2016,/product/molino-di-santantimo-rosso-di-montalcino-2016/508943,Sangiovese,"Tuscany, Italy",{},0.0,0,24,99,337,1,0,0,0,0,0,0,0
Banfi Centine Bianco 2017,/product/banfi-centine-bianco-2017/520877,Other White Blends,"Tuscany, Italy",{},0.0,0,15,99,337,0,1,0,0,0,0,0,0
Antinori Villa Bianco 2017,/product/antinori-villa-bianco-2017/506124,Other White Blends,"Tuscany, Italy",{},0.0,0,13,99,337,0,1,0,0,0,0,0,0
Castiglion del Bosco Rosso di Montalcino 2016,/product/castiglion-del-bosco-rosso-di-montalcino-2016/513228,Sangiovese,"Tuscany, Italy",{},0.0,0,21,99,337,1,0,0,0,0,0,0,0
La Gerla Rosso di Montalcino 2016,/product/la-gerla-rosso-di-montalcino-2016/404947,Sangiovese,"Tuscany, Italy",{},0.0,0,28,99,337,1,0,0,0,0,0,0,0
Tenuta di Nozzole Villa Nozzole Chianti Classico 2017,/product/tenuta-di-nozzole-villa-nozzole-chianti-classico-2017/531042,Sangiovese,"Tuscany, Italy",{},0.0,0,21,99,337,1,0,0,0,0,0,0,0
Ciacci Piccolomini d'Aragona Toscana Rosso 2016,/product/ciacci-piccolomini-daragona-toscana-rosso-2016/525797,Tuscan Blends,"Tuscany, Italy",{},0.0,0,16,99,337,1,0,0,0,0,1,0,0
Rocca delle Macie Moonlite 2016,/product/rocca-delle-macie-moonlite-2016/507796,Other White Blends,"Tuscany, Italy",{},0.0,0,13,99,337,0,1,0,0,0,0,0,0
Fattoria dei Barbi Brusco dei Barbi 2015,/product/fattoria-dei-barbi-brusco-dei-barbi-2015/341323,Sangiovese,"Tuscany, Italy",{},0.0,0,15,99,337,1,0,0,0,0,0,0,0
Tua Rita Per Sempre Syrah 2013,/product/tua-rita-per-sempre-syrah-2013/379239,Syrah/Shiraz,"Tuscany, Italy",{},0.0,0,149,99,337,1,0,0,0,0,0,0,0
Belguardo Maremma Serrata 2012,/product/belguardo-maremma-serrata-2012/380870,Sangiovese,"Tuscany, Italy",{},0.0,0,19,99,338,1,0,0,0,0,0,0,0
La Spinetta Il Rose di Casanova 2018,/product/la-spinetta-il-rose-di-casanova-2018/526996,Rosé,"Tuscany, Italy",{},0.0,0,18,99,338,0,0,0,0,0,0,0,0
Castello di Volpaia Citto Rosso 2015,/product/castello-di-volpaia-citto-rosso-2015/256514,Tuscan Blends,"Tuscany, Italy",{},0.0,0,14,99,338,1,0,0,0,0,1,0,0
La Rasina Rosso di Montalcino 2015,/product/la-rasina-rosso-di-montalcino-2015/211768,Sangiovese,"Tuscany, Italy",{},0.0,0,21,99,338,1,0,0,0,0,0,0,0
Banfi Col di Sasso 2016,/product/banfi-col-di-sasso-2016/432418,Tuscan Blends,"Tuscany, Italy",{},3.9,13,9,99,338,1,0,0,0,0,0,0,0
Castello di Volpaia Citto Rosso 2017,/product/castello-di-volpaia-citto-rosso-2017/528170,Tuscan Blends,"Tuscany, Italy",{},0.0,0,16,99,338,1,0,0,0,0,1,0,0
Ciacci Piccolomini d'Aragona Fabius 2015,/product/ciacci-piccolomini-daragona-fabius-2015/393288,Syrah/Shiraz,"Tuscany, Italy",{},0.0,0,26,99,338,1,0,0,0,0,0,0,0
Carpineta Fontalpino Do ut des Toscana 2013,/product/carpineta-fontalpino-do-ut-des-toscana-2013/531941,Other Red Blends,"Tuscany, Italy",{},0.0,0,38,99,338,1,0,0,0,0,0,0,0
Molino di Sant'Antimo Rosso di Montalcino 2014,/product/molino-di-santantimo-rosso-di-montalcino-2014/211781,Sangiovese,"Tuscany, Italy",{},0.0,0,24,99,338,1,0,0,0,0,0,0,0
Col d'Orcia Spezieri 2015,/product/col-dorcia-spezieri-2015/507890,Tuscan Blends,"Tuscany, Italy",{},0.0,0,13,99,338,1,0,0,0,0,1,0,0
La Spinetta Toscana Vermentino 2018,/product/la-spinetta-toscana-vermentino-2018/520963,Vermentino,"Tuscany, Italy",{},0.0,0,18,99,338,0,1,0,0,0,0,0,0
Tenuta di Nozzole Le Bruniche Chardonnay 2017,/product/tenuta-di-nozzole-le-bruniche-chardonnay-2017/506416,Chardonnay,"Tuscany, Italy",{},0.0,0,16,99,338,0,1,0,0,0,0,1,0
Banfi San Angelo Pinot Grigio 2018,/product/banfi-san-angelo-pinot-grigio-2018/521821,Pinot Gris/Grigio,"Tuscany, Italy",{},0.0,0,16,99,338,0,1,0,0,0,0,1,0
ColleMassari Montecucco Rigoleto 2014,/product/collemassari-montecucco-rigoleto-2014/163538,Tuscan Blends,"Tuscany, Italy",{},0.0,0,21,99,338,1,0,0,0,0,0,0,0
Fattoria del Cerro Manero 2015,/product/fattoria-del-cerro-manero-2015/260098,Tuscan Blends,"Tuscany, Italy",{},2.9,9,12,99,338,1,0,0,0,0,0,0,0
Barone Ricasoli Toscana Rosso 2016,/product/barone-ricasoli-toscana-rosso-2016/527220,Tuscan Blends,"Tuscany, Italy",{},0.0,0,10,99,338,1,0,0,0,0,0,0,0
Bibi Graetz Casamatta Bianco 2015,/product/bibi-graetz-casamatta-bianco-2015/205718,Other White Wine,"Tuscany, Italy",{},0.0,0,14,99,338,0,1,0,0,0,0,0,0
La Gerla Poggio Angeli 2016,/product/la-gerla-poggio-angeli-2016/398576,Sangiovese,"Tuscany, Italy",{},0.0,0,17,99,338,1,0,0,0,0,0,0,0
Piancornello Rogheto 2016,/product/piancornello-rogheto-2016/508254,Sangiovese,"Tuscany, Italy",{},3.3,12,19,99,338,1,0,0,0,0,0,0,0
Frescobaldi Remole Toscana Rosso 2017,/product/frescobaldi-remole-toscana-rosso-2017/518339,Tuscan Blends,"Tuscany, Italy",{},0.0,0,11,99,338,1,0,0,0,0,0,0,0
Fontaleoni Vernaccia Di San Gimignano 2018,/product/fontaleoni-vernaccia-di-san-gimignano-2018/519111,Vernaccia,"Tuscany, Italy",{},0.0,0,15,99,338,0,1,0,0,0,0,0,0
Huia Pinot Gris 2016,/product/huia-pinot-gris-2016/355060,Pinot Gris/Grigio,New Zealand,{},0.0,0,21,99,338,0,1,0,0,0,1,1,0
Huia Pinot Gris 2017,/product/huia-pinot-gris-2017/520990,Pinot Gris/Grigio,New Zealand,{},0.0,0,19,99,338,0,1,0,0,0,1,1,0
Kim Crawford Pinot Noir 2017,/product/kim-crawford-pinot-noir-2017/510001,Pinot Noir,New Zealand,{},0.0,0,19,99,338,1,0,0,0,0,0,1,0
Kumeu River Mate's Vineyard Chardonnay 2015,/product/kumeu-river-mates-vineyard-chardonnay-2015/288156,Chardonnay,New Zealand,"{'JS': '98', 'WE': '94', 'W&S': '90'}",0.0,0,54,99,338,0,1,0,0,0,0,1,1
Stoneleigh Latitude Chardonnay 2013,/product/stoneleigh-latitude-chardonnay-2013/150327,Chardonnay,New Zealand,{},0.0,0,18,99,339,0,1,0,0,0,0,1,0
Sherwood Estate Sauvignon Blanc 2018,/product/sherwood-estate-sauvignon-blanc-2018/518278,Sauvignon Blanc,New Zealand,{},0.0,0,16,99,339,0,1,0,0,0,0,0,0
Robert Weil Estate Riesling Spatlese 2015,/product/robert-weil-estate-riesling-spatlese-2015/168132,Riesling,"Rheingau, Germany",{'W&S': '93'},3.6,8,40,"
    ",339,0,1,0,0,0,0,0,0
Stony Hill Chardonnay 2013,/product/stony-hill-chardonnay-2013/428497,Chardonnay,"Spring Mountain District, Napa Valley, California",{'WE': '92'},0.0,0,54,99,339,0,1,0,0,0,0,0,1
