,name,url,varietal,origin,rating_dict,avg_rating,rating_count,page,red,white,sparking,collectible,giftable,green,screwcap,boutique,price,price_bins,description
1,Saracco Moscato d'Asti 2018,/product/saracco-moscato-dasti-2018/517853,Muscat,Italy,{'V': '94'},4.3,9,2,0,1,0,0,0,0,0,0.0,17.99,<20,"Saracco Moscato is as sweet and seductive as the hills where it is born and grows; as vibrant and sharp as the mountains that surround and protect the land on the horizon; refreshing and effervescent, like the wind rushing down from the Alps towards their hills. Served cold with its delicate and persistent bubbles, it is like a refreshing shower in summer. View More"
2,Chateau Cote de Baleau 2015,/product/chateau-cote-de-baleau-2015/158294,Bordeaux Red Blends,France,"{'RP': '94', 'WS': '92', 'JS': '92'}",4.4,20,2,1,0,0,0,0,0,0,0.0,31.99,20-50,"Blend: 80% Merlot, 15% Cabernet Franc, and 5% Cabernet Sauvignon View More"
3,Chateau Sansonnet 2015,/product/chateau-sansonnet-2015/400828,Bordeaux Red Blends,France,"{'JS': '96', 'JD': '94', 'WS': '92', 'RP': '92', 'D': '92', 'WE': '92'}",4.0,14,2,1,0,0,0,0,0,0,0.0,39.99,20-50,"The color is dark. The nose, spiced, reveals a beautiful brightness of black fruits. There is a lot of density in the attach. Unctuousness, intensity and elegance in mouth translate the exceptional quality of tannins. The whole is melted in the mineral expression of the famous argilo calcareous soils.
Blend: 90% Merlot, 7% Cabernet Sauvignon, 3% Cabernet Franc View More"
4,Chateau Pichon-Longueville Baron 2016,/product/chateau-pichon-longueville-baron-2016/202515,Bordeaux Red Blends,France,"{'JS': '99', 'RP': '97', 'WE': '97', 'JD': '97', 'D': '96', 'WS': '96'}",4.6,7,2,1,0,0,1,0,0,0,0.0,179.99,100+,"Blend: 85% Cabernet Sauvignon, 15% Merlot View More"
5,Foxen Bien Nacido Block Eight Pinot Noir 2015,/product/foxen-bien-nacido-block-eight-pinot-noir-2015/508780,Pinot Noir,California,"{'WE': '96', 'RP': '93', 'JD': '92'}",4.3,6,2,1,0,0,0,0,0,0,0.0,64.99,50-100, View More
6,Chateau Malartic-Lagraviere 2014,/product/chateau-malartic-lagraviere-2014/142829,Bordeaux Red Blends,France,"{'WE': '96', 'JS': '94', 'D': '93', 'WW': '93', 'RP': '92', 'TP': '92', 'WS': '91', 'JD': '91'}",4.3,8,2,1,0,0,0,0,0,0,0.0,54.99,50-100,"Blend: 52% Cabernet Sauvignon, 40% Merlot, 5% Cabernet Franc, 3% Petit Verdot. View More"
7,Hall Eighteen Seventy-Three Cabernet Sauvignon 2014,/product/hall-eighteen-seventy-three-cabernet-sauvignon-2014/405545,Cabernet Sauvignon,California,"{'WW': '98', 'WE': '95'}",4.4,71,2,1,0,0,0,0,0,0,0.0,80.0,50-100,"Brooding and earth-driven, this wine opens with dominant aromas of crushed rocks, ripe blackberries, and wild blueberries. The weighty palate is structured by fine, powerful, tightly-wound tannins and balanced acidity. Integrated French Oak aromatics of toasted coconut, cinnamon and clove carry through the lengthy finish. 100% Cabernet Sauvignon View More"
8,La Posta Pizzella Family Vineyard Malbec 2017,/product/la-posta-pizzella-family-vineyard-malbec-2017/516703,Malbec,Argentina,"{'JS': '93', 'RP': '90', 'TA': '90'}",3.9,19,2,1,0,0,0,0,0,0,0.0,18.0,<20,"A beautiful red and purple color with aromas of black cherries, dark fruits, dark chocolate and baker's spice. On the palate, the wine shows dense, dark berry and plum flavors along with hints of sandalwood and spice, and even a hint of violets in the finish. Don't be concerned if you find yourself inhaling deeply from your glass, over and over—it is just your nose's way of telling you that it wants its fair share! This is a full-bodied and well-structured wine that is incredibly full of life and born to be enjoyed with food and friends. It goes great with everything from hamburgers and chicken to pizza and mild cheeses. An awesome value to boot. View More"
9,Numanthia Termes 2015,/product/numanthia-termes-2015/506070,Tempranillo,Spain,"{'JS': '94', 'RP': '90'}",4.1,20,2,1,0,0,0,0,0,0,0.0,25.99,20-50,"Harvested from over 30 years old vines, this wine fully expresses the fruit's liveliness. Fresh and fruity on the nose with aromas of cherries in alcohol, fresh figs, raspberries, and plums. These perfectly integrate with hints of aromatics such as thyme and eucalyptus in addition to subtle notes of hazelnuts, tobacco, and cinnamon. The mouthfeel is fresh and balanced, with a predominance of fruit flavors. View More"
10,Mount Eden Vineyards Estate Cabernet Sauvignon 2014,/product/mount-eden-vineyards-estate-cabernet-sauvignon-2014/355924,Cabernet Sauvignon,California,"{'JD': '97', 'D': '96', 'W&S': '96', 'WW': '92', 'WE': '92'}",4.8,6,2,1,0,0,1,0,0,0,0.0,79.99,50-100, View More
11,Chateau Pontet-Canet 2015,/product/chateau-pontet-canet-2015/153356,Bordeaux Red Blends,France,"{'JS': '98', 'V': '97', 'WE': '97', 'RP': '96', 'D': '96', 'JD': '95', 'WS': '94'}",4.1,14,2,1,0,0,1,0,1,0,0.0,139.99,100+,"Vibrant and deep in color. The nose is a fusion of red and black berries, graphite and spices. The palate's structure is particularly dense and long with chiseled tannins of incredible precision. View More"
12,Billecart-Salmon Brut Rose,/product/billecart-salmon-brut-rose/23291,Rosé Sparkling Wine,France,"{'WW': '96', 'JS': '94', 'WS': '93', 'RP': '93', 'D': '92', 'WE': '91'}",4.6,149,2,0,0,1,0,0,0,0,0.0,79.99,50-100,"Persistent mousse, with fine bubbles rising slowly. Pale salmon pink in color, with a shade of gold. A nose of red fruits and fresh pear. Delicate fruit on the palate, elegant, and showing great finesse. View More"
13,Bruno Paillard Rose Premiere Cuvee,/product/bruno-paillard-rose-premiere-cuvee/5912,Rosé Sparkling Wine,France,"{'W&S': '94', 'WW': '93', 'JS': '93', 'D': '93', 'WS': '91', 'RP': '91', 'WE': '90'}",4.9,8,2,0,0,1,0,0,0,0,0.0,67.99,50-100,"A hymn to the bright delicacy of Pinot Noir, the Premiere Cuvee Rosé is named on account of its composition of only the first pressing. The pink copper color with a hint of raspberry when young evolves to salmon while ageing. The fine bubbles are due to a strict selection of the best grapes, perfectly controlled temperature in the cellar and very long ageing. The initial aromas of redcurrant and red fruits evolve to morello cherry, wild strawberry and violet while breathing in the glass. A touch of lemon denotes the discrete presence of Chardonnay. With age, aromas tend towards dark fruits like dark cherry, fig and blackberry. Red fruit captured at their full freshness on the palate. The finish is bright and long.The Rose Premiere Cuvee is a great match to fine Italian charcuterie, sushi, poultry or red fruit salad. View More"
14,Secret Indulgence Le Duc Noir Pinot Noir 2016,/product/secret-indulgence-le-duc-noir-pinot-noir-2016/362096,Pinot Noir,California,"{'JD': '94', 'RP': '91'}",4.3,6,2,1,0,0,0,0,0,0,0.0,31.99,20-50,"This 100% Pinot Noir presents a rich red in the glass. The nose is Burgundian in style, with notes of smoke and leather integrating gracefully with cranberry, dried cherry and plum skin. This Russian River based Pinot Noir greets your palate with pomegranate, tart red fruits, Herbes de Provence and hints of cassis, black cardamom and black tea. This wine has a spreading, full body with a long, lingering finish.Pairs well with roasted bone marrow or duck breast with a cherry reduction View More"
15,Bodega Garzon Uruguay Reserve Tannat 2017,/product/bodega-garzon-uruguay-reserve-tannat-2017/519888,Tannat,Uruguay,"{'JS': '92', 'WS': '91'}",4.2,13,2,1,0,0,0,0,0,0,0.0,19.99,<20, View More
16,Laurent-Perrier Cuvee Rose Brut,/product/laurent-perrier-cuvee-rose-brut/10521,Rosé Sparkling Wine,France,"{'CG': '96', 'TP': '93', 'WE': '92', 'WS': '92', 'W&S': '90'}",4.6,143,2,0,0,1,0,0,0,0,0.0,100.0,50-100,"#33 wine in VinePair's Top 50 of 2018The Cuvée Rosé from Laurent-Perrier is the most recognized rosé champagne in the world. It is also one of the few rosés still made by the saignée method. Held in an elegant bottle inspired by King Henri IV, it has been widely acknowledged for its consistent high quality for more that 40 years, and it is the benchmark for rosé champagne around the world.Laurent-Perrier Cuvée Rosé is truly remarkable for its highly expressive bouquet, stemming from very careful preservation of fresh fruit aromas during the wine making. Made with 100% Pinot Noir from 10 different ""crus "" (or villages), from the North and South areas of the Montagne de Reims, as well as the famous Cote de Bouzy. Grapes from carefully selected plots are meticulously sorted and de-stemmed before going into the vats, and the controlled maceration helps with the color extraction and the development of the full aromatic richness of the Pinot Noir.Intensely fruity flavors, clean and slightly sharp, the wine opens to the sensation of freshly picked red berries: strawberries, Morello cherries, black currants and raspberries. The finish is supple and rounded. View More"
17,H. Blin Millesime Brut 2008,/product/h-blin-millesime-brut-2008/514338,Vintage Sparkling Wine,France,"{'WE': '94', 'WS': '91'}",4.5,5,2,0,0,1,0,0,1,0,0.0,69.0,50-100,"Appearance : bright yellow. Abundant and very fine bubbles.Nose : Scents of white flowers and ripe pear.Palate : Aromas of toasted bread. Long finish of exotic fruits.Blend: 50% Pinot Meunier, 50% Chardonnay View More"
18,Dona Paula Estate Malbec 2017,/product/dona-paula-estate-malbec-2017/515009,Malbec,Argentina,{'JS': '91'},4.4,6,2,1,0,0,0,0,0,0,0.0,15.99,<20,"Intense violet color. In the nose, aromas of black fruit, violets and spices, with some mineral and graphite notes, are perceived. Great balance and freshness in the mouth, with good concentration and structure. Soft tannins and persistent finish.Sirloin strip steak, chimi-churri butter, French fries with herbs and roasted tomatoes. A pairing par excellence! And when it comes to preparing it, simplicity makes this dish even more exquisite. View More"
19,Abbazia di Novacella Kerner 2017,/product/abbazia-di-novacella-kerner-2017/431184,Other White Wine,Italy,{'WE': '94'},4.6,8,2,0,1,0,0,0,0,0,0.0,20.99,20-50,"100% Kerner from gravelly marine soils planted at 600-750m in elevation. Vinified in stainless steel tanks using indigenous yeasts, then aged 6 months in stainless steel tanks. View More"
20,Chateau Berliquet 2015,/product/chateau-berliquet-2015/157792,Bordeaux Red Blends,France,"{'JS': '97', 'WS': '92', 'V': '92', 'D': '91'}",4.1,26,2,1,0,0,0,0,0,0,0.0,47.99,20-50, View More
21,Henriot Brut Souverain,/product/henriot-brut-souverain/84831,Non-Vintage Sparkling Wine,France,"{'WE': '94', 'WW': '92', 'WS': '91', 'JS': '91'}",4.2,87,2,0,0,1,0,0,0,0,0.0,50.0,20-50,"A beautiful gold color. The bubbles are persistent, fine and regular. The nose is pleasant, made very elegant by the large amount of Chardonnay. The Brut Souverain is sharp, well balanced and harmonious on the palate. View More"
22,Louis Jadot Beaujolais Villages 2017,/product/louis-jadot-beaujolais-villages-2017/506090,Gamay,France,{'JS': '91'},4.3,65,2,1,0,0,0,0,0,0,0.0,13.99,<20,"Strong red purple in color, this wine offers aromas of red fruits, particularly cherry. On the palate, it is slightly spicy with a touch of grey pepper, licorice and rose flower. The whole wine is very well-balanced with nice acidity and tannins. Pair with terrines, charcuterie, grilled red meat, white fish, cheese or simply as the sole wine of a meal. View More"
23,Marques de Murrieta Rioja Reserva 2014,/product/marques-de-murrieta-rioja-reserva-2014/421117,Tempranillo,Spain,"{'TA': '94', 'RP': '93', 'WS': '92'}",4.0,47,2,1,0,0,0,0,0,0,0.0,29.0,20-50,"Grapes are sourced from our Ygay Estate: 300 hectares of vineyards surrounding the winery in the southernmost point of Rioja Alta. Altitude ranges from 320 to 485 meters above sea level The wine is aged for 19 months in 225 litre American oak barrels.  Pair with steamed and grilled hake loin, prawns with their coral and truffle aroma; baked unsalted cod with onion and green peppers; grilled beef tenderloin, green asparagus and carrot purée; creamy carnaroli rice with truffles and foiemi - cuit; selection of creamy and blue cheeses, red wine compote and sour cherries. Blend: 84% Tempranillo, 9% Graciano, 5% Mazuelo, 2% Garnacha View More"
24,Chateau Pontet-Canet 2016,/product/chateau-pontet-canet-2016/202522,Bordeaux Red Blends,France,"{'WE': '100', 'JS': '99', 'RP': '98', 'JD': '98', 'D': '97', 'WS': '95'}",4.2,7,3,1,0,0,1,0,1,0,0.0,169.99,100+, View More
25,El Enemigo Malbec 2015,/product/el-enemigo-malbec-2015/430383,Malbec,Argentina,{'JS': '92'},4.8,8,3,1,0,0,0,0,0,0,0.0,24.99,20-50, View More
26,Hiedler Langenlois Riesling 2016,/product/hiedler-langenlois-riesling-2016/417513,Riesling,Austria,"{'JS': '95', 'WE': '92', 'WS': '90'}",4.1,10,3,0,1,0,0,0,1,1,0.0,29.99,20-50,"The historical village of Langenlois is the center of the appellation Kamptal. This Riesling is grown on the slopes and small terraces in the north of the village, where a variety of meager primary rocks and crystalline soils emerge. View More"
27,Chateau Smith Haut Lafitte 2015,/product/chateau-smith-haut-lafitte-2015/157782,Bordeaux Red Blends,France,"{'JS': '99', 'RP': '97', 'WS': '96', 'WE': '96', 'D': '96', 'JD': '96'}",4.0,20,3,1,0,0,1,0,0,0,0.0,139.99,100+,"Chateau Smith Haut Lafitte 2015 is a very dark red wine, almost black. The nose expresses a bouquet of black fruits and very freshred fruits. Through swirling, the nose appears more complex with notes of spices, cedar, liquorice associated with notes of violet and a touch of flint stone. The mouth is straightforward, dynamic, powerful, dense, classy. Tannins are concentrated, unctuous and silky. They give the wine great length and beautiful texture. We find again in mouth the crunchy and ripe fruits and an additional spicier dimension with liquorice, citron, clove and a wonderfulfinale of floral and mineral notes.Blend: 63% Cabernet Sauvignon, 33% Merlot, 2% Cabernet Franc, 2% Petit Verdot View More"
28,Alamos Malbec Mendoza Seleccion 2016,/product/alamos-malbec-mendoza-seleccion-2016/490870,Malbec,Argentina,"{'JS': '92', 'RP': '90'}",4.1,11,3,1,0,0,0,0,0,0,0.0,20.0,<20,"This bold Malbec Selección wine marries dense, dark fruit flavors with subtle minerality and muscular structure. It’s an adventurous and unique mountain red, with plenty of depth and nuance created by Mendoza’s truly distinctive growing conditions. This full-bodied Malbec wine begins with complex aromas of juicy dark fruits and hints of floral violet and wildflowers. On the supple palate, abundant fruit flavors of ripe black currant and plum are framed by hints of black pepper and baking spices, leading to a lingering, luscious finish. View More"
29,Lucien Albrecht Cremant d'Alsace Brut,/product/lucien-albrecht-cremant-dalsace-brut/12033,Non-Vintage Sparkling Wine,France,"{'D': '92', 'WE': '91', 'WW': '91', 'W&S': '90', 'JS': '90'}",4.0,132,3,0,0,1,0,0,0,0,0.0,24.0,20-50,"#71 Wine Enthusiast Top 100 of 2018Lucien Albrecht, Jean's father, pioneered Crémant production in 1971 and helped gain an Appellation Contrôlêe for the wine and for Alsace. The wines vinified by the classic Champagne Method from 100% free run juice, are the best sparkling wines in France outside of Champagne itself. Recently Maison Lucien Albrecht was awarded four gold medals at a comprehensive National I.N.A.O. tasting of all sparkling wines in France, giving the firm more gold medals than any other Crémant producer in France.This Blanc de Blancs is made from 100% Pinot Blanc. The Blanc de Blancs is distinguished by a fine and elegant bead, a beautiful straw color; a light, delicate palate. It is delicious at any time of the day and with many foods. View More"
30,Carpe Diem Pinot Noir 2014,/product/carpe-diem-pinot-noir-2014/168005,Pinot Noir,California,"{'D': '95', 'WE': '91'}",4.1,113,3,1,0,0,0,0,0,0,0.0,35.0,20-50,"The Carpe Diem show aromas of fresh cherries and exotic spices. Black cherry flavors are kept fresh by brisk acidity.Pair with roasted pheasant with bright, tangerine roasted root vegetables, or any dish highlighting grilled chicken and herbs. View More"
31,Zenato Valpolicella Superiore Ripassa 2015,/product/zenato-valpolicella-superiore-ripassa-2015/519159,Other Red Blends,Italy,"{'JS': '94', 'WS': '90'}",4.5,13,3,1,0,0,0,0,0,0,0.0,29.99,20-50,"This wine is closely connected to the greatest wine of Valpolicella: Amarone. After pressing the dried grapes from which Amarone is made, the Valpolicella wine is passed over the still warm marc of Amarone. A second alcoholic fermentation begins which increases the alcoholic content and the wine becomes richer in color, bouquet.Excellent companion to game dishes, grilled meat and roasts, salami and aged cheeses.Blend: 85% Corvina, 10% Rondinella, 5% Oseleta View More"
32,Domaine Bousquet Grande Reserve Malbec 2015,/product/domaine-bousquet-grande-reserve-malbec-2015/221210,Malbec,Argentina,{'WE': '92'},4.2,8,3,1,0,0,0,0,0,0,0.0,25.0,20-50, View More
33,Vina Cobos Felino Malbec 2017,/product/vina-cobos-felino-malbec-2017/507072,Malbec,Argentina,"{'JS': '93', 'RP': '90'}",4.1,17,3,1,0,0,0,0,0,0,0.0,19.99,<20,"Violet red with black tones. An attractive nose with aromas of fresh black fruits and prunes. The palate displays good concentration, balance and sweet yet supple tannins. View More"
34,Lucien Albrecht Cremant d'Alsace Brut Rose,/product/lucien-albrecht-cremant-dalsace-brut-rose/87804,Rosé Sparkling Wine,France,"{'WW': '93', 'WS': '90'}",4.0,229,3,0,0,1,0,0,0,0,0.0,24.0,20-50,"The grapes are hand picked. The whole cluster Pinot Noir grapes are directly pressed in a pneumatic press with a long and soft pressing, hence the coral/light pink salmon color. Cremant Rosé is made by the Champagne Methode. The second fermentation takes place in the bottle. Afterwards it stays on its lees for 9 months follow by the remuage and disgorging. View More"
35,Clos de los Siete Red Blend 2015,/product/clos-de-los-siete-red-blend-2015/509733,Other Red Blends,Argentina,"{'JS': '93', 'WS': '91', 'TA': '91', 'RP': '90'}",4.1,37,3,1,0,0,0,0,0,0,0.0,19.99,<20,"The 2015 vintage reminds me to some extent of my hometown of Bordeaux because of the high levels of rain. The Malbec once again demonstrated its versatility, revealing itself in all its glory in this wine of which it constitutes 58% of the blend. The tell-tale signs of its presence are expressed in the attractive ruby red color and purple tints around the edges, and the bouquet bursting with aromas of violet and red fruit with predominant notes of plum, later complemented by scents of black fruit and spices from the nice ripe Merlot and the Cabernet Sauvignon. On the palate, the attack is pleasant and sweet with a fleshy, full-bodied texture that is well-balanced. The smoothness of the Malbec and Syrah harmonize with the tannic structure of the Cabernet Sauvignon and Petit Verdot, which bestow a flavorsome, lingering finale upon the wine. The subtle hints of aging in wood barrels only serve to add complexity to this blend, which boasts all the typical elegance of cool vintage years, promising excellent aging potential. A fine example to enjoy. Cheers! ~ Michel Rolland 
Blend : 58% Malbec, 23% Merlot, 10% Cabernet-Sauvignon, 8% Syrah, 1% Petit Verdot View More"
36,Folie a Deux Alexander Valley Cabernet Sauvignon 2016,/product/folie-a-deux-alexander-valley-cabernet-sauvignon-2016/506814,Cabernet Sauvignon,California,"{'TP': '92', 'JD': '90'}",4.3,10,3,1,0,0,0,0,0,0,0.0,24.99,20-50,"Aromas of black currant, cherry, dark plum and violets are balanced by notes of sage, fennel, olives, black tea and tobacco—all layered over soft, fine-grained tannins. View More"
37,Chateau D'Aqueria Tavel Rose 2017,/product/chateau-daqueria-tavel-rose-2017/392265,Rosé,France,"{'RP': '92', 'WE': '91'}",4.2,13,3,0,0,0,0,0,0,0,0.0,21.99,20-50,"Vibrant salmon-coral in color; this wine is bone dry, full-bodied and full of fruit on the palate, with the lusciousness and depth that have made the wines of Tavel famous.Delicious with shellfish, salad and poultry. View More"
38,Shaw & Smith Shiraz 2015,/product/shaw-and-smith-shiraz-2015/392874,Syrah/Shiraz,Australia,"{'JS': '96', 'RP': '92'}",4.2,10,3,1,0,0,0,0,0,1,0.0,34.99,20-50,"Shaw + Smith Shiraz is a medium bodied cool-climate Shiraz, in which balance is more important than power. This wine shows vibrant fruit, spice and texture. View More"
39,Chateau Prieure-Lichine 2015,/product/chateau-prieure-lichine-2015/157793,Bordeaux Red Blends,France,"{'JS': '96', 'WE': '95', 'V': '95', 'D': '92', 'WS': '92', 'RP': '90'}",4.0,11,3,1,0,0,0,0,0,0,0.0,49.99,20-50, View More
40,Haras de Pirque Hussonet Gran Reserva Cabernet Sauvignon 2014,/product/haras-de-pirque-hussonet-gran-reserva-cabernet-sauvignon-2014/336329,Cabernet Sauvignon,Chile,{'JS': '90'},4.3,7,3,1,0,0,0,0,0,0,0.0,15.99,<20,"Dark violet in color this wine is filled with spicy, fresh black fruit aromatics with overtones of mint. On the palate, it is lively, expressing rosemary, laurel and mint touches. The finishes long and savory. It is an ideal pairing with lamb, pasta or risotto.  View More"
41,Philipponnat Royale Reserve Brut,/product/philipponnat-royale-reserve-brut/21442,Non-Vintage Sparkling Wine,France,"{'WW': '94', 'WE': '92', 'BH': '92', 'WS': '92', 'JS': '92', 'W&S': '91', 'RP': '90'}",4.3,6,3,0,0,1,0,0,0,0,0.0,61.99,50-100,"Royale Réserve Brut is the purest expression of the House’s style. Offering a superb balance between structure, persistence and vinosity, this cuvée reveals the essential character of the Mareuil-sur-Ay terroir (where mainly Pinot Noir grapes are grown, which is predominant in the blend). After three years aging on lees, Royale Réserve Brut is pleasantly mature while losing nothing of its freshness, making it an ideal aperitif wine. Its vinosity enhances white meat, charcuterie and fish.Blend: 65% Pinot Noir, 30% Chardonnay, 5% Pinot Meunier View More"
42,Beringer Knights Valley Cabernet Sauvignon 2016,/product/beringer-knights-valley-cabernet-sauvignon-2016/515639,Cabernet Sauvignon,California,"{'JS': '94', 'RP': '90'}",4.0,31,3,1,0,0,0,0,1,0,0.0,36.0,20-50,"Beringer Vineyards has owned and farmed its Knights Valley vineyards since the mid-1960s, when the Beringer family recognized that the cobbled alluvial soils were a great place to grow high-quality wine grapes.This Cabernet is built each vintage on the notion of a Bordeaux blend, with soft and silky tannins crafted for immediate enjoyment. Aromas of lavender and clove join flavors of dark red fruit led by boysenberry, huckleberry, raspberry, black cherry and evident oak spice are joined with more traditional Knights Valley tones of black and blue fruits. Fine acidity and elegant structure lead to a touch of licorice and mocha, rounding out a lingering, pleasant finish.Blend: 88% Cabernet Sauvignon, 5% Merlot, 5% Cabernet Franc, 2% Petite Verdot View More"
43,Alamos Torrontes 2017,/product/alamos-torrontes-2017/434607,Torrontes,Argentina,{'JS': '90'},4.1,27,3,0,1,0,0,0,0,1,0.0,9.99,<20,"A delightful expression of the region, the Alamos Torrontes is crisp and extraordinarily fragrant (another benefit of our high-elevation vineyards), filled with striking floral aromas of orange and jasmine blossom. On the palate, vibrant notes of peach, ripe pineapple and fresh herbs lead to a refreshing zing of acidity at the finish. View More"
44,Mt. Brave Cabernet Sauvignon 2015,/product/mt-brave-cabernet-sauvignon-2015/388377,Cabernet Sauvignon,California,"{'RP': '96', 'WS': '94', 'JS': '92'}",4.4,7,3,1,0,0,0,0,0,0,0.0,89.0,50-100,"This Cabernet Sauvignon has great spice, minerality, notes of blue fruits, toast, and dark cherry that combine with bright floral notes, weight, and a wonderful finish. View More"
45,Mercer Family Vineyards Reserve Cabernet Sauvignon 2016,/product/mercer-family-vineyards-reserve-cabernet-sauvignon-2016/518571,Cabernet Sauvignon,Washington,{'W&S': '94'},4.0,11,3,1,0,0,0,0,0,0,0.0,25.0,20-50,"Aromas of ripe blackberries, black currant, savoury herb, and sweet ripe tobacco are highlighted by barrel spices of vanilla and mesquite. The ripe fruit flavors carry through in the palate with a light touch of acidity. Sleek tannins lead into powdery tannins on the finish. 
Blend: 75% Cabernet Sauvignon, 15% Syrah, and 10% Merlot.  View More"
46,Pascual Toso Brut,/product/pascual-toso-brut/235869,Non-Vintage Sparkling Wine,Argentina,{'JS': '90'},4.0,7,3,0,0,1,0,0,0,0,0.0,13.99,<20,"This sparkling wine is bright and clear with a touch of pale yellow. The aroma displays a bouquet of perfectly balanced yeasts with the Chardonnay used for this basic wine. Over time, this evolves and gains complexity in the bottle. The aroma is complemented by the flavor and has a gentle, soft, fresh taste which makes it enjoyable to drink.Best served chilled as an aperitif, or accompanying any celebration! View More"
47,Tarapaca Gran Reserva Etiqueta Azul 2013,/product/tarapaca-gran-reserva-etiqueta-azul-2013/166511,Other Red Blends,Chile,"{'JS': '94', 'WE': '91'}",4.4,16,3,1,0,0,0,0,0,0,0.0,45.0,20-50,"Black fruit notes such as blackberry and black cherry; floral notes such as violets; spicy notes of white pepper and also subtle aromas of black olive. On the palate, the Cabernet Sauvignon from the El Mirador series reects the soil characteristics, with a pronouncedattack, aromas of cherry, blackcurrant (and an important sand presence). And also it has great structure (round tannins present) given by the presence of sharp stones and gravel. Flavorsome onthe palate, balanced and with good persistence (volcanic soil minerality gives for good persistence on the palate). The soil where the Syrah is located, gives for full-bodied, velvety wines (clay presence), with good persistence and a degree of minerality. Inour view, the Petit Verdot and Cabernet Franc varieties have contributed considerably.  View More"
48,Chateau Malartic-Lagraviere 2015,/product/chateau-malartic-lagraviere-2015/153297,Bordeaux Red Blends,France,"{'JS': '96', 'D': '96', 'V': '96', 'WE': '95', 'RP': '92', 'WS': '92', 'JD': '92'}",4.2,32,3,1,0,0,0,0,1,0,0.0,59.99,50-100,"#38 Wine Enthusiast Top 100 of 2018 
Uniformity and perfect health are the vintage's key characteristics. This result is a truly sublime expression of Malartic's mosaic of terroirs. Each plot has been able to reveal its full personality. The rich aromatic palate has been enhanced by a soft and tailor-made ageing that reinforced the expression of a very nice complexity.Blend: 53% Cabernet Sauvignon, 35% Merlot, 7% Petit Verdot, 5% Cabernet Franc View More"
49,Carpineto Chianti Classico Riserva 2015,/product/carpineto-chianti-classico-riserva-2015/385352,Sangiovese,Italy,"{'WS': '94', 'RP': '90'}",4.1,19,4,1,0,0,0,0,0,0,0.0,28.0,20-50,"Intense ruby red with garnet reflections. The bouquet is elegant, full, harmonious and persistent with suggestions of vanilla and raspberry. The palate is long and velvety, full-bodied, generous and warm. Perfect with roasts and game. View More"
50,Tenuta Guado al Tasso Il Bruciato 2016,/product/tenuta-guado-al-tasso-il-bruciato-2016/427682,Bordeaux Red Blends,Italy,"{'JS': '94', 'RP': '93', 'WS': '90'}",4.2,112,4,1,0,0,0,0,0,0,0.0,31.0,20-50,"The 2016 Bruciato offers an intense ruby red color. On the nose, the aromas of ripe red berry fruit, sweet spices, and a light and fresh minty note are the most prominent sensations. The palate is well structured, persistent, and very pleasurable in its fruity finish and aftertaste.
Blend: 55% Cabernet Sauvignon, 30% Merlot, 15% Syrah View More"
51,Graham's Six Grapes Reserve Port,/product/grahams-six-grapes-reserve-port/5968,Port,Portugal,"{'D': '95', 'W&S': '91', 'WW': '91'}",4.2,148,4,0,0,0,0,0,0,0,0.0,23.0,20-50,"Six Grapes has a seductive, rich aroma of ripe plums, cherries and dark chocolate notes. On the palate it's complex, with an excellent structure and a long, lingering finish. Six Grapes is one of Graham's original Port blends--it is a very full-bodied, luscious wine drawn from the same vineyards as Graham's Vintage Ports.  Blended from two or three years' harvests, the wine is an average of five to six years old when it is lightly filtered and bottled.Serving and pairing suggestionsSix Grapes is bottled ready to drink after about five years of cask aging. It has a t-cap closure, which means that you don't need a corkscrew to open it and that it should stay fresh for up to two months if stored in a cool, dark place or the refrigerator. Serve it in a glass with at least a six ounce capacity so that you may appreciate the wine's aromas. Six Grapes pairs particularly well with dark chocolate, but is also fantastic on its own as a luscious dessert in a glass.Blend: 33.3% Tinta Roriz, 33.3% Touriga Nacional, 33.3% Touriga Franca View More"
52,Spottswoode Cabernet Sauvignon 2015,/product/spottswoode-cabernet-sauvignon-2015/508997,Cabernet Sauvignon,California,"{'RP': '100', 'WW': '100', 'JD': '99', 'WE': '97', 'TP': '97', 'JS': '95', 'WS': '95'}",5.0,7,4,1,0,0,0,0,0,0,0.0,239.99,100+,"The 2015 Spottswoode Estate Cabernet is fresh and complex, a beautiful refection of its warm, low-yielding vintage—balancing classic Spottswoode elegance with plush tannins and concentrated fruit.Opaque deep purple. Packed. Lifted and perfumey. Voluptuous, with a great deal of youthful intensity, demonstrating primary blue and black fruit characters. An enticing potpourri of bakery aromas—chocolate-covered cherries, caramel, spice, coffee bean, boysenberry cream, black cherry, vanilla, crème brûlée, with hints of bay leaf and tobacco, and wonderful underlying minerality. Amazing balance, long finish, structured tannins. Built for aging. We are very excited about this highly anticipated vintage!Blend: 90% Cabernet Sauvignon, 7% Cabernet Franc, 3% Petit Verdot View More"
53,Z. Alexander Brown Uncaged Red Blend 2016,/product/z-alexander-brown-uncaged-red-blend-2016/429628,Other Red Blends,California,{'TP': '93'},4.1,131,4,1,0,0,0,0,0,0,0.0,20.0,<20,"Dark garnet in the glass, commanding aromas of blueberry, caramel and toasted oak preview a bold, mouth-filling palate stacked with concentrated layers of ripe dark fruit, black cherry and milk chocolate. Robust and full-bodied with excellent weight in the mid-palate, this complex wine leaves a lasting impression with a smooth, round and full finish. View More"
