,name,url,varietal,origin,rating_dict,avg_rating,rating_count,page,red,white,sparking,collectible,giftable,green,screwcap,boutique,price,price_bins,description
868,Cousino Macul Antiguas Reservas Cabernet Sauvignon 2015,/product/cousino-macul-antiguas-reservas-cabernet-sauvignon-2015/515911,Cabernet Sauvignon,Chile,{'JS': '92'},0.0,0,38,1,0,0,0,0,0,0,0.0,18.99,<20,"Intense bright ruby red color. The aromas are clearly fruity and spicy, giving a first impression of plums, raspberry, cherry and a flowers with fresh pepper -- followed by notes of toffee, vanilla and smoke. On the palate, the wine has a medium to high acidity and round tannins. It's an elegant wine with an intense body and a fresh and long mouthfeel. A great pairing with tenderloin with pepper or truffle sauce and grilled vegetables. Also excellent with goat cheese or mushroom risotto. View More"
869,BenMarco Malbec 2016,/product/benmarco-malbec-2016/509302,Malbec,Argentina,"{'RP': '92', 'WE': '90'}",3.5,11,38,1,0,0,0,0,0,0,0.0,20.0,<20,"BenMarco Malbec is a testament to Uco Valley, from which it hails, proffering aromas of fresh black fruit and floral notes of violets. The palate shows great balance, very fine tannins, and a thread of acidity going through its core, lifting it up and going its length.
Pair with beef, sausages, spiced or grilled pork, medium-strong cheeses, and meat-based pasta sauces. View More"
870,Casas del Bosque Gran Reserva Cabernet Sauvignon 2017,/product/casas-del-bosque-gran-reserva-cabernet-sauvignon-2017/518308,Cabernet Sauvignon,Chile,{'JS': '92'},0.0,0,38,1,0,0,0,0,0,0,0.0,18.99,<20,"Deep ruby in color. Leafy and ripe blackberries and boysenberries with mocha and cassis. Rich and bold on the palate with dark chocolate, black cherry, and blueberries. Long, luxurious finish. Drink now through 2025. View More"
871,Michel Gassier Cercius Rouge 2016,/product/michel-gassier-cercius-rouge-2016/485223,Rhone Red Blends,France,{'JD': '93'},3.9,7,38,1,0,0,0,0,0,0,0.0,16.99,<20," Based on Grenache, with a small portion of Syrah, Cercius comes from a warm terroir of deep limestone soils topped with galets. View More"
872,Andre Brunel Cotes du Rhone Villages Cuvee Sabrine 2015,/product/andre-brunel-cotes-du-rhone-villages-cuvee-sabrine-2015/417505,Rhone Red Blends,France,{'RP': '92'},3.6,7,38,1,0,0,0,0,1,0,0.0,16.99,<20,"A Côtes du Rhône Villages allying the freshness of the Grenache to the complexity of the great terroirs of the Rhône valley.
A great taste of red fruits. The tannins are harmonious and elegant. Nice finish in the mouth allowing for even more complex aromas. The wine allies strength and elegance but is still easy to drink for every day meal.  View More"
873,Chateau Mayne Vieil Cuvee Alienor 2015,/product/chateau-mayne-vieil-cuvee-alienor-2015/419112,Merlot,France,{'WE': '93'},3.7,25,38,1,0,0,0,0,0,0,0.0,24.0,20-50,"Red, lively, and intense color. Aromas of intense cooked fruit, and fine wood. The palate is very supple, ample, and good length with a well balanced finish. 
Pair with red meat and cheeses. View More"
874,Maison L'Envoye Two Messengers Pinot Noir 2016,/product/maison-lenvoye-two-messengers-pinot-noir-2016/508969,Pinot Noir,Oregon,{'WS': '90'},4.4,9,38,1,0,0,0,0,0,0,0.0,29.99,20-50,"Layers of cranberry, redcurrant and kirsch aromas are supported by subtle notes of holiday spice. Ripe red fruit flavors envelop the palate throughout its length with savory forest floor nuances adding complexity. Vibrant acidity brings energy and balance while supple tannins perfectly frame the flavors across the impressively long finish. View More"
875,Broglia Gavi La Meirana 2017,/product/broglia-gavi-la-meirana-2017/423178,Cortese,Italy,{'D': '90'},4.3,7,38,0,1,0,0,0,0,0,0.0,21.99,20-50,"Pale straw yellow-green, this wine offers a fine and delicate nose with fruity notes of peach, melon and pink grapefruit, as well as hints of anise and flowers. On the palate, it is very balanced, with a long fruity finish.  Ideal as an aperitif, or with grilled fish. View More"
876,Henriot Brut Rose,/product/henriot-brut-rose/87599,Rosé Sparkling Wine,France,"{'WE': '93', 'TP': '93', 'W&S': '90', 'WS': '90'}",4.4,9,38,0,0,1,0,0,0,0,0.0,75.0,50-100,"For the last 200 years, this tiny, family-owned Champagne house has been carefully fine tuning their craft. Very few know about them (due to limited importation) but those lucky enough to have sampled Henriot Rosé know what to expect: elegant, sophisticated aromas with flavors of red fruits, rose petals and spice.  A clean, effervescent mousse and a long finish. View More"
877,Elk Cove Pinot Gris 2017,/product/elk-cove-pinot-gris-2017/485198,Pinot Gris/Grigio,Oregon,{},5.0,8,38,0,1,0,0,0,1,1,0.0,19.99,<20,"Vintage 2017 was a classic Oregon vintage with plenty of sunny days and refreshingly cool nights. It was also the first year since our wines were 100% estate grown, created entirely from grapes we own and farm. We now have full control as we care for our vineyards and soils for generations to come. “Estate Grown” is now proudly displayed on each of our labels.
The Willamette Valley has the perfect climate for this delicate cool weather white wine. We have enough sunlight and warmth for ripening, but our cool evenings help retain varietal character and prevent over-ripening. We whole-cluster press our pinot gris grapes, then ferment the juice at very cool temperatures in small stainless steel tanks. This gentle treatment protects the aromatic qualities and enhances the natural richness of the Pinot Gris grapes, creating our most popular white wine. View More"
